Titulo;Ano;Genero;Duracao;Diretor;Roteirista;Nota IMDB;Qtd Rev IMDB;Nota Metascore;Qtd Rev Metascore;Sinopse;Link
O Protetor 2;2018;Action;0;Antoine Fuqua;Richard Lindheim;;0;0;0;"
                    Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?
            ";http://www.imdb.com/title/tt3766354/?ref_=nm_flmg_act_1
Roman J. Israel, Esq.;2017;Crime;122;Dan Gilroy;Dan Gilroy;6.4;14103;58;116;"
                    Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.
            ";http://www.imdb.com/title/tt6000478/?ref_=nm_flmg_act_2
Um Limite Entre Nós;2016;Drama;139;Denzel Washington;August Wilson;7.2;74162;79;287;"
                    A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.
            ";http://www.imdb.com/title/tt2671706/?ref_=nm_flmg_act_3
Sete Homens e um Destino;2016;Action;132;Antoine Fuqua;Akira Kurosawa;6.9;151581;54;391;"
                    Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
            ";http://www.imdb.com/title/tt2404435/?ref_=nm_flmg_act_4
O Protetor;2014;Action;132;Antoine Fuqua;Richard Wenk;7.2;263544;57;470;"
                    A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.
            ";http://www.imdb.com/title/tt0455944/?ref_=nm_flmg_act_5
Dose Dupla;2013;Action;109;Baltasar Kormákur;Blake Masters;6.7;173153;55;178;"
                    Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.
            ";http://www.imdb.com/title/tt1272878/?ref_=nm_flmg_act_6
O Voo;2012;Drama;138;Robert Zemeckis;John Gatins;7.3;287892;76;512;"
                    An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.
            ";http://www.imdb.com/title/tt1907668/?ref_=nm_flmg_act_7
Protegendo o Inimigo;2012;Action;115;Daniel Espinosa;David Guggenheim;6.8;181901;52;280;"
                    A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.
            ";http://www.imdb.com/title/tt1599348/?ref_=nm_flmg_act_8
Incontrolável;2010;Action;98;Tony Scott;Mark Bomback;6.8;164624;69;335;"
                    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.
            ";http://www.imdb.com/title/tt0477080/?ref_=nm_flmg_act_9
O Livro de Eli;2010;Action;118;Albert Hughes;Gary Whitta;6.9;254153;53;582;"
                    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.
            ";http://www.imdb.com/title/tt1037705/?ref_=nm_flmg_act_10
O Sequestro do Metrô 123;2009;Action;106;Tony Scott;Brian Helgeland;6.4;164497;55;293;"
                    Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.
            ";http://www.imdb.com/title/tt1111422/?ref_=nm_flmg_act_11
O Grande Debate;2007;Biography;126;Denzel Washington;Robert Eisele;7.6;51488;65;122;"
                    A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.
            ";http://www.imdb.com/title/tt0427309/?ref_=nm_flmg_act_12
O Gângster;2007;Biography;157;Ridley Scott;Steven Zaillian;7.8;350500;76;470;"
                    An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.
            ";http://www.imdb.com/title/tt0765429/?ref_=nm_flmg_act_13
Déjà Vu;2006;Action;126;Tony Scott;Bill Marsilii;7.0;264132;59;418;"
                    After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.
            ";http://www.imdb.com/title/tt0453467/?ref_=nm_flmg_act_14
O Plano Perfeito;2006;Crime;129;Spike Lee;Russell Gewirtz;7.6;298100;76;664;"
                    A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.
            ";http://www.imdb.com/title/tt0454848/?ref_=nm_flmg_act_15
