Titulo;Ano;Genero;Duracao;Diretor;Roteirista;Nota IMDB;Qtd Rev IMDB;Nota Metascore;Qtd Rev Metascore;Sinopse;Link
O Protetor 2;2018;Action;121;Antoine Fuqua;Richard Wenk;7.2;1233;49;30;"
                    Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?
            ";http://www.imdb.com/title/tt3766354/?ref_=nm_flmg_act_1
Roman J. Israel, Esq.;2017;Crime;122;Dan Gilroy;Dan Gilroy;6.4;16787;58;133;"
                    Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.
            ";http://www.imdb.com/title/tt6000478/?ref_=nm_flmg_act_2
Um Limite Entre Nos;2016;Drama;139;Denzel Washington;August Wilson;7.2;76603;79;301;"
                    A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.
            ";http://www.imdb.com/title/tt2671706/?ref_=nm_flmg_act_3
Sete Homens e um Destino;2016;Action;132;Antoine Fuqua;Akira Kurosawa;6.9;155032;54;395;"
                    Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
            ";http://www.imdb.com/title/tt2404435/?ref_=nm_flmg_act_4
O Protetor;2014;Action;132;Antoine Fuqua;Richard Wenk;7.2;268719;57;487;"
                    A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.
            ";http://www.imdb.com/title/tt0455944/?ref_=nm_flmg_act_5
Dose Dupla;2013;Action;109;Baltasar Kormákur;Blake Masters;6.7;174759;55;183;"
                    Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.
            ";http://www.imdb.com/title/tt1272878/?ref_=nm_flmg_act_6
O Voo;2012;Drama;138;Robert Zemeckis;John Gatins;7.3;290296;76;517;"
                    An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.
            ";http://www.imdb.com/title/tt1907668/?ref_=nm_flmg_act_7
Protegendo o Inimigo;2012;Action;115;Daniel Espinosa;David Guggenheim;6.8;183600;52;281;"
                    A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.
            ";http://www.imdb.com/title/tt1599348/?ref_=nm_flmg_act_8
Incontrolavel;2010;Action;98;Tony Scott;Mark Bomback;6.8;166028;69;336;"
                    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.
            ";http://www.imdb.com/title/tt0477080/?ref_=nm_flmg_act_9
O Livro de Eli;2010;Action;118;Albert Hughes;Gary Whitta;6.9;256795;53;583;"
                    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.
            ";http://www.imdb.com/title/tt1037705/?ref_=nm_flmg_act_10
